iter	Logloss
0	0.6788245264
1	0.6661404288
2	0.6548006456
3	0.6447179155
4	0.6357842665
5	0.627861394
6	0.620750274
7	0.6143835212
8	0.6086330338
9	0.6035136505
10	0.5988957867
11	0.5949186332
12	0.5913449776
13	0.5881823941
14	0.5852803673
15	0.5827390618
16	0.580491745
17	0.5784471891
18	0.5766103601
19	0.5750112287
20	0.5735692155
21	0.572242015
22	0.5710538859
23	0.5700355585
24	0.5690734329
25	0.5682503127
26	0.5675145195
27	0.5667563447
28	0.5661623497
29	0.5654323837
30	0.5649688149
31	0.5643455758
32	0.5639522197
33	0.5635478203
34	0.5632515712
35	0.562840246
36	0.5624551886
37	0.5621920944
38	0.5618388116
39	0.5616413703
40	0.5614901938
41	0.5613548104
42	0.5612335613
43	0.5611249629
44	0.5608230828
45	0.5606645621
46	0.5605219116
47	0.5604525281
48	0.5603158226
49	0.5601605934
50	0.5601109855
51	0.5599797323
52	0.559901865
53	0.5598651744
54	0.5598176152
55	0.5597861922
56	0.559615989
57	0.5595111151
58	0.5593237354
59	0.5591665382
60	0.5589123774
61	0.5587944035
62	0.5587723546
63	0.558598289
64	0.5585882868
65	0.5585788976
66	0.5584738324
67	0.5582489869
68	0.5581076047
69	0.557910534
70	0.5579056756
71	0.5575640481
72	0.5575335298
73	0.5573318494
74	0.5573139996
75	0.5573099521
76	0.5572674443
77	0.5570870514
78	0.5569556133
79	0.5568601912
80	0.5568548972
81	0.5568272923
82	0.556806366
83	0.5567618195
84	0.5563657593
85	0.5563593801
86	0.5563510861
87	0.5562019607
88	0.5561989743
89	0.5561554808
90	0.5561433974
91	0.5558691454
92	0.5557923859
93	0.5557312338
94	0.5556576241
95	0.5556576184
96	0.5555599251
97	0.5555010967
98	0.5554262039
99	0.5554261968
100	0.5550416375
101	0.5550416369
102	0.5550382181
103	0.5550250607
104	0.5550122073
105	0.5550024585
106	0.5550010847
107	0.5550000698
108	0.554997201
109	0.5548670628
110	0.5548067748
111	0.5548020823
112	0.5546939314
113	0.5546935466
114	0.5546693551
115	0.554566913
116	0.5544548593
117	0.554161848
118	0.5541605911
119	0.5541557881
120	0.554103709
121	0.5541037087
122	0.5541036176
123	0.554062267
124	0.5539866396
125	0.5539866395
126	0.5539784356
127	0.553967186
128	0.553792885
129	0.5537403875
130	0.5537160834
131	0.5536490568
132	0.5534343179
133	0.5534103389
134	0.5534051447
135	0.5532831795
136	0.5532712341
137	0.5532690295
138	0.5532389705
139	0.5532294069
140	0.5532283031
141	0.5532168277
142	0.5532168248
143	0.5531347798
144	0.5529837036
145	0.5529818015
